Area Abbrv,Division,Department Name,Fund,Department,Acct Type,Account Name,CurrYrOrigSep,CurrYrOrigOct,CurrYrOrigNov,CurrYrOrigDec,CurrYrOrigJan,CurrYrOrigFeb,CurrYrOrigMar,CurrYrOrigApr,CurrYrOrigMay,CurrYrOrigJun,CurrYrOrigJul,CurrYrOrigAug,CurrYrAdjSep,CurrYrAdjOct,CurrYrAdjNov,CurrYrAdjDec,CurrYrAdjJan,CurrYrAdjFeb,CurrYrAdjMar,CurrYrAdjApr,CurrYrAdjMay,CurrYrAdjJun,CurrYrAdjJul,CurrYrAdjAug,CurrYrActualsSep,CurrYrActualsOct,CurrYrActualsNov,CurrYrActualsDec,CurrYrActualsJan,CurrYrActualsFeb,CurrYrActualsMar,CurrYrActualsApr,CurrYrActualsMay,CurrYrActualsJun,CurrYrActualsJul,CurrYrActualsAug,PrevYrActualsSep,PrevYrActualsOct,PrevYrActualsNov,PrevYrActualsDec,PrevYrActualsJan,PrevYrActualsFeb,PrevYrActualsMar,PrevYrActualsApr,PrevYrActualsMay,PrevYrActualsJun,PrevYrActualsJul,PrevYrActualsAug
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,61 - Pool Faculty,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,62 - Pool-PT Faculty,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,63 - Pool-FT Admin/Supp,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,64 - Pool-PT Admin/Supp,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,65 - Staff Benefits,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,7,71 - Pool-Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,7,76 - Pool-Other Exp,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$507,011 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"($281,609)","$281,609 ",$0 ,$0 ,"$104,129 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,63 - Pool-FT Admin/Supp,"$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,923 ","$37,360 ","$35,725 ","$35,725 ","$35,725 ","$37,012 ","$38,556 ","$38,556 ","$38,556 ","$38,556 ","$38,599 ","$38,599 ","$38,589 ","$37,360 ","$35,725 ","$35,725 ","$35,725 ","$37,011 ","$38,555 ","$38,555 ","$38,555 ","$38,555 ",,,,"$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,926 ","$37,606 ","$37,926 ","$37,231 "
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,64 - Pool-PT Admin/Supp,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$14 ,$20 ,$17 ,$17 ,$15 ,$20 ,$25 ,$20 ,$20 ,$19 ,$5 ,$1 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,65 - Staff Benefits,"$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,879 ","$5,878 ","$6,173 ","$5,990 ","$5,990 ","$5,989 ","$5,989 ","$5,990 ","$5,990 ","$5,990 ","$5,990 ","$5,989 ","$5,989 ","$6,000 ","$4,845 ","$5,679 ","$5,054 ","$5,175 ","$5,431 ","$5,644 ","$5,604 ","$5,618 ","$5,649 ",,,,"$5,979 ","$5,983 ","$5,985 ","$6,041 ","$6,078 ","$5,909 ","$5,962 ","$5,932 ","$5,920 ","$5,834 ","$5,969 ","$5,724 "
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,66 - Pool-Other Employee Benefits,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$379 ,$349 ,$344 ,$344 ,$344 ,$444 ,$430 ,$389 ,$378 ,$381 ,,,,$371 ,$371 ,$371 ,$375 ,$455 ,$419 ,$379 ,$369 ,$366 ,$365 ,$368 ,$366 
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,72 - Pool-Travel,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$971 ,$0 ,$0 ,$0 ,$0 ,$400 ,$50 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,058 ",$0 ,$147 ,$0 ,$165 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,73 - Pool-Other Oper,$0 ,$0 ,$0 ,$201 ,$25 ,$56 ,$0 ,$0 ,$400 ,$0 ,$0 ,$298 ,$0 ,$0 ,$0 ,$201 ,$25 ,$56 ,$0 ,$0 ,"$8,149 ",$101 ,$0 ,"$4,798 ",$269 ,$0 ,$0 ,$0 ,$0 ,$693 ,$360 ,$796 ,"$6,312 ",,,,$0 ,$0 ,$0 ,$201 ,$25 ,$170 ,$113 ,$787 ,$259 ,$0 ,$367 ,$281 
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,74 - Pool-Monthly Chgs,"$14,580 ","$3,492 ","$4,000 ","$2,867 ","$3,349 ",$935 ,$492 ,"$8,000 ","$2,081 ","$1,539 ","$5,761 ","$11,320 ","$14,580 ","$3,492 ","$4,000 ","$1,896 ","$3,349 ","$9,706 ",$492 ,"$8,000 ","$2,081 ","$1,539 ","$5,761 ","$2,969 ","$11,728 ","$1,561 ","$4,758 ","$1,790 ","$8,719 ","$2,447 ","$1,271 ","$11,901 ","$2,482 ",,,,$0 ,"$3,492 ","$5,998 ","$2,867 ","$3,349 ",$535 ,$837 ,"$6,566 ","$12,105 ","$1,199 ","$28,861 ","$19,257 "
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,76 - Pool-Other Exp,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$275 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$275 ,$51 ,$0 ,$0 ,$0 ,$325 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,7,78 - Pool-Cap Equip,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,424 ",$199 
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,6,63 - Pool-FT Admin/Supp,"$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,823 ","$22,815 ","$6,578 ","$6,245 ","$6,245 ","$6,245 ","$6,245 ","$6,231 ","$6,231 ","$6,231 ","$6,231 ","$22,925 ","$22,925 ","$22,918 ","$7,970 ","$6,244 ","$6,244 ","$6,244 ","$6,244 ","$4,641 ","$3,038 ","$3,038 ","$3,038 ",,,,"$22,822 ","$22,822 ","$22,822 ","$22,822 ","$22,822 ","$22,822 ","$22,822 ","$22,822 ","$22,822 ","$22,822 ","$22,822 ","$6,475 "
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,6,65 - Staff Benefits,"$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,538 ","$3,536 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,555 ","$3,551 ",$863 ,$852 ,$750 ,$770 ,$749 ,$545 ,$329 ,$331 ,$329 ,,,,"$2,917 ","$2,918 ","$2,919 ","$2,925 ","$2,914 ","$2,911 ","$2,935 ","$2,920 ","$2,916 ","$2,912 ","$2,908 ","$1,174 "
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,6,66 - Pool-Other Employee Benefits,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$229 ,$70 ,$61 ,$61 ,$61 ,$72 ,$48 ,$23 ,$23 ,$23 ,,,,$228 ,$228 ,$228 ,$228 ,$257 ,$236 ,$228 ,$228 ,$228 ,$228 ,$228 ,$63 
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,71 - Pool-Services,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ","$1,000 ","$1,000 ","$2,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,000 ",,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,72 - Pool-Travel,"$1,500 ",$84 ,$0 ,"$1,305 ",$700 ,$995 ,$82 ,$0 ,$107 ,$655 ,$247 ,"$1,500 ","$1,500 ",$84 ,$0 ,"$1,305 ",$700 ,$995 ,$82 ,$0 ,$107 ,$655 ,$247 ,"$1,500 ",$0 ,"$1,883 ",$0 ,$301 ,$0 ,$0 ,$120 ,$137 ,$367 ,,,,$0 ,$66 ,$27 ,$13 ,$5 ,$0 ,$0 ,$74 ,$0 ,$76 ,$0 ,$98 
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,73 - Pool-Other Oper,$0 ,$0 ,$0 ,$0 ,$0 ,$14 ,$894 ,"$2,008 ",$0 ,$0 ,$0 ,"$2,960 ",$0 ,$0 ,$0 ,$0 ,$0 ,$14 ,$894 ,"$2,008 ",$0 ,$0 ,$0 ,"$2,960 ",($9),$0 ,$82 ,$71 ,$180 ,$0 ,$193 ,$89 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$58 ,$590 
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,74 - Pool-Monthly Chgs,$0 ,$0 ,$8 ,$5 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,$2 ,$0 ,$0 ,$0 ,$8 ,$5 ,$2 ,$0 ,$0 ,$0 ,$20 ,$10 ,$12 ,$10 ,$0 ,$0 ,$10 ,$0 ,$1 ,$1 ,$0 ,$0 ,$23 ,,,,$433 ,$0 ,$0 ,$0 ,$4 ,$0 ,$2 ,$0 ,$7 ,$0 ,$0 ,$123 
PresOffice,Pres Office,CF President Office,F10 - Operating,0500000001 - CF President Office,7,76 - Pool-Other Exp,$0 ,$75 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$61,037 ",$0 ,$75 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,750 ",$0 ,$0 ,"$52,737 ",$0 ,$75 ,"$1,250 ",$0 ,"$1,500 ",$0 ,$0 ,$0 ,$0 ,,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,250 ",$0 ,$0 ,$0 ,$0 
VPAD,Director Business Operations,Business Operations,F10 - Operating,0500000003 - Business Operations,6,63 - Pool-FT Admin/Supp,"$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$40,818 ","$39,437 ","$38,145 ","$39,158 ","$39,737 ","$41,501 ","$42,433 ","$42,433 ","$42,433 ","$46,393 ","$46,571 ","$46,570 ","$46,527 ","$38,630 ","$38,143 ","$37,999 ","$39,704 ","$41,736 ","$42,398 ","$42,398 ","$42,398 ","$46,359 ",,,,"$34,043 ","$35,048 ","$35,048 ","$35,048 ","$35,766 ","$36,643 ","$36,643 ","$36,643 ","$36,643 ","$38,161 ","$40,818 ","$41,622 "
