Area Abbrv,Division,Department Name,Fund,Department,Acct Type,Account Name,CurrYrOrigSep,CurrYrOrigOct,CurrYrOrigNov,CurrYrOrigDec,CurrYrOrigJan,CurrYrOrigFeb,CurrYrOrigMar,CurrYrOrigApr,CurrYrOrigMay,CurrYrOrigJun,CurrYrOrigJul,CurrYrOrigAug,CurrYrOrigYrTotal,CurrYrAdjSep,CurrYrAdjOct,CurrYrAdjNov,CurrYrAdjDec,CurrYrAdjJan,CurrYrAdjFeb,CurrYrAdjMar,CurrYrAdjApr,CurrYrAdjMay,CurrYrAdjJun,CurrYrAdjJul,CurrYrAdjAug,CurrYrAdjYrTotal,CurrYrActualsSep,CurrYrActualsOct,CurrYrActualsNov,CurrYrActualsDec,CurrYrActualsJan,CurrYrActualsFeb,CurrYrActualsMar,CurrYrActualsApr,CurrYrActualsMay,CurrYrActualsJun,CurrYrActualsJul,CurrYrActualsAug,CurrYrActualsYrTotal,PrevYrActualsSep,PrevYrActualsOct,PrevYrActualsNov,PrevYrActualsDec,PrevYrActualsJan,PrevYrActualsFeb,PrevYrActualsMar,PrevYrActualsApr,PrevYrActualsMay,PrevYrActualsJun,PrevYrActualsJul,PrevYrActualsAug,PrevYrActualsYrTotal
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,61 - Pool Faculty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,62 - Pool-PT Faculty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,63 - Pool-FT Admin/Supp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,64 - Pool-PT Admin/Supp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,6,65 - Staff Benefits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,7,71 - Pool-Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campus,CF Contingency,CyFair Contingency,F10 - Operating,0500010001 - CyFair Contingency,7,76 - Pool-Other Exp,0,0,0,0,0,0,0,0,0,0,0,507011,507011,0,0,0,0,0,0,0,-281609,281609,0,0,104129,104129,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,63 - Pool-FT Admin/Supp,37926,37926,37926,37926,37926,37926,37926,37926,37926,37926,37926,37923,455109,37360,35725,35725,35725,37012,38556,38556,38556,38556,38599,38599,38589,451558,37360,35725,35725,35725,37011,38555,38555,38555,38555,39120.666666666664,39483.333333333336,39846.0,335766,37926,37926,37926,37926,37926,37926,37926,37926,37926,37606,37926,37231,454095
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,64 - Pool-PT Admin/Supp,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,17,17,15,20,25,20,20,19,5,1,193,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,65 - Staff Benefits,5879,5879,5879,5879,5879,5879,5879,5879,5879,5879,5879,5878,70547,6173,5990,5990,5989,5989,5990,5990,5990,5990,5989,5989,6000,72069,4845,5679,5054,5175,5431,5644,5604,5618,5649,5794.5,5871.2,5947.900000000001,48697,5979,5983,5985,6041,6078,5909,5962,5932,5920,5834,5969,5724,71317
PresOffice,College Relations,College Relations,F10 - Operating,0500000034 - College Relations,6,66 - Pool-Other Employee Benefits,379,379,379,379,379,379,379,379,379,379,379,379,4548,379,379,379,379,379,379,379,379,379,379,379,379,4548,349,344,344,344,444,430,389,378,381,411.9444444444444,418.71111111111105,425.47777777777776,3403,371,371,371,375,455,419,379,369,366,365,368,366,4576
